title,release_date,genres
A-X-L,2018-08-23,"Science Fiction, Action, Adventure, Family"
The Zero Theorem,2013-09-20,"Drama, Fantasy, Science Fiction"
The Void,2016-09-22,"Mystery, Horror, Science Fiction"
The Flu,2013-08-14,"Action, Adventure, Science Fiction"
iBoy,2017-01-27,"Action, Science Fiction"
ARQ,2016-09-16,"Science Fiction, Thriller"
The Colony,2013-04-12,"Action, Science Fiction, Thriller"
Perfect Sense,2011-09-29,"Drama, Science Fiction, Romance"
Final Fantasy VII: Advent Children,2005-07-14,"Animation, Action, Adventure, Fantasy, Science Fiction"
Captive State,2019-03-15,"Science Fiction, Action, Horror, Thriller"
The Forgotten,2004-09-24,"Thriller, Drama, Mystery, Science Fiction"
Teen Titans Go! To the Movies,2018-07-27,"Animation, Action, Comedy, Science Fiction"
Batman Beyond: Return of the Joker,2000-12-12,"Animation, Family, Action, Science Fiction"
Freaks,2019-09-13,"Science Fiction, Thriller, Drama, Mystery"
Death Race 2,2010-11-12,"Action, Thriller, Science Fiction"
Shin Godzilla,2016-07-29,"Action, Science Fiction, Horror"
Titan A.E.,2000-06-16,"Animation, Action, Science Fiction, Family, Adventure"
Robot & Frank,2012-08-16,"Science Fiction, Comedy, Drama, Crime"
Mute,2018-02-23,"Science Fiction, Mystery, Thriller"
High Life,2018-09-26,"Science Fiction, Drama, Mystery"
The Bad Batch,2017-06-23,"Drama, Horror, Science Fiction"
Cell,2016-07-06,"Horror, Science Fiction, Thriller"
Ghosts of Mars,2001-08-24,"Action, Horror, Science Fiction"
Timeline,2003-11-26,"Action, Adventure, Science Fiction"
Awake,2021-06-09,"Drama, Science Fiction, Thriller"
The Endless,2017-11-05,"Science Fiction, Horror, Thriller"
Time Trap,2017-05-19,"Science Fiction, Adventure"
Disaster Movie,2008-08-29,"Comedy, Science Fiction"
Resident Evil: Degeneration,2008-02-13,"Animation, Horror, Action, Science Fiction"
Space Pirate Captain Harlock,2013-09-07,"Animation, Science Fiction"
Stealth,2005-07-27,Science Fiction
Red Planet,2000-11-10,"Thriller, Action, Science Fiction"
Cube Zero,2004-10-10,"Mystery, Science Fiction, Thriller"
Aliens in the Attic,2009-07-30,"Adventure, Comedy, Family, Fantasy, Science Fiction"
Beyond Skyline,2017-10-20,"Action, Science Fiction, Adventure"
Apollo 18,2011-07-20,"Horror, Thriller, Science Fiction"
The Vast of Night,2019-06-01,"Mystery, Science Fiction, Thriller, Drama"
Space Sweepers,2021-02-05,"Drama, Fantasy, Science Fiction"
The Invisible Boy,2014-12-18,"Comedy, Adventure, Science Fiction, Fantasy"
PK,2014-12-18,"Comedy, Drama, Adventure, Science Fiction"
Rim of the World,2019-05-24,"Science Fiction, Adventure, Action, Comedy"
Justice League vs. Teen Titans,2016-03-26,"Science Fiction, Action, Animation, Adventure, Comedy"
Resident Evil: Vendetta,2017-05-27,"Animation, Horror, Adventure, Action, Science Fiction"
Z for Zachariah,2015-08-13,"Science Fiction, Drama"
Justice League: Throne of Atlantis,2015-01-13,"Science Fiction, Action, Animation, Adventure"
Batman vs. Robin,2015-04-03,"Science Fiction, Action, Adventure, Animation"
Summer Wars,2009-08-01,"Animation, Science Fiction"
The Room,2019-09-12,"Horror, Drama, Mystery, Science Fiction"
Jimmy Neutron: Boy Genius,2001-12-21,"Family, Action, Adventure, Animation, Comedy, Science Fiction"
Evangelion: 1.0 You Are (Not) Alone,2007-09-01,"Animation, Science Fiction, Action, Drama"
The Butterfly Effect 2,2006-08-17,"Drama, Science Fiction, Thriller"
S1m0ne,2002-08-23,"Science Fiction, Comedy, Drama"
Batman: Bad Blood,2016-01-19,"Science Fiction, Action, Animation"
Bill & Ted Face the Music,2020-08-27,"Comedy, Science Fiction, Adventure"
The Wandering Earth,2019-02-05,"Science Fiction, Action, Drama"
Justice League: Doom,2012-02-28,"Action, Animation, Science Fiction"
Synchronic,2020-10-23,"Science Fiction, Drama, Thriller, Horror"
2046,2004-05-20,"Drama, Science Fiction, Romance"
Fahrenheit 451,2018-05-12,"Drama, Science Fiction, Thriller"
Monster Trucks,2016-12-21,"Action, Comedy, Science Fiction"
Batman Ninja,2018-06-15,"Animation, Action, Science Fiction"
Steven Universe: The Movie,2019-09-02,"TV Movie, Animation, Science Fiction, Action, Adventure, Comedy, Drama, Fantasy, Music"
Cowboy Bebop: The Movie,2001-09-01,"Action, Animation, Science Fiction"
Ghost in the Shell 2: Innocence,2004-03-06,"Animation, Drama, Science Fiction"
Evangelion: 2.0 You Can (Not) Advance,2009-06-26,"Animation, Science Fiction, Action, Drama"
Superman: Red Son,2020-02-24,"Science Fiction, Animation, Action"
Kin,2018-08-29,"Science Fiction, Action, Adventure, Thriller"
Battlefield Earth,2000-05-12,"Action, Adventure, Comedy, Science Fiction"
2067,2020-10-01,"Science Fiction, Thriller"
The Machine,2013-04-25,"Science Fiction, Thriller"
Possessor,2020-10-02,"Horror, Thriller, Science Fiction"
Attraction,2017-01-26,"Drama, Romance, Science Fiction, Adventure"
Invasion,2020-01-01,"Science Fiction, Drama, Action"
The Last Days on Mars,2013-08-11,"Science Fiction, Thriller, Horror"
Prospect,2018-10-02,Science Fiction
Stake Land,2010-09-30,"Drama, Horror, Science Fiction"
Just a Breath Away,2018-04-04,"Drama, Science Fiction, Thriller"
Guardians,2017-02-14,"Action, Adventure, Comedy, Fantasy, Science Fiction, Thriller"
Evangelion: 3.0 You Can (Not) Redo,2012-11-17,"Animation, Science Fiction, Action, Drama"
Max Steel,2016-10-14,"Action, Adventure, Science Fiction"
Voyagers,2021-04-08,"Science Fiction, Thriller"
Injustice,2021-10-09,"Animation, Science Fiction, Fantasy, Action"
Doctor Who: The Day of the Doctor,2013-11-23,"Science Fiction, Adventure"
Escape from Planet Earth,2013-02-14,"Animation, Comedy, Adventure, Family, Science Fiction"
Lifted,2006-12-28,"Family, Animation, Science Fiction, Comedy"
Next Gen,2018-09-07,"Animation, Action, Adventure, Comedy, Family, Science Fiction"
Evangelion: 3.0+1.0 Thrice Upon a Time,2021-03-08,"Animation, Action, Science Fiction, Drama"
Marvel One-Shot: Agent Carter,2013-09-03,"Action, Adventure, Science Fiction, Fantasy"
Death Race: Inferno,2013-01-04,"Action, Science Fiction, Thriller"
The Death of Superman,2018-07-24,"Science Fiction, Animation, Action, Drama"
Attack on Titan,2015-08-01,"Horror, Fantasy, Action, Science Fiction"
GANTZ:O,2016-10-14,"Science Fiction, Action, Animation"
The Call,2020-11-27,"Thriller, Mystery, Science Fiction"
BURN·E,2008-11-17,"Animation, Family, Comedy, Science Fiction"
The Bay,2012-09-13,"Horror, Science Fiction, Thriller"
Upstream Color,2013-04-05,"Drama, Science Fiction"
Mother/Android,2021-12-17,"Science Fiction, Thriller"
In Your Eyes,2014-04-20,"Drama, Romance, Science Fiction"
Turbo Kid,2015-08-14,"Action, Adventure, Comedy, Science Fiction"
Batman: Gotham by Gaslight,2018-01-12,"Thriller, Action, Animation, Science Fiction"
Justice League: Crisis on Two Earths,2010-02-23,"Action, Adventure, Animation, Science Fiction"
Kingsglaive: Final Fantasy XV,2016-07-09,"Animation, Science Fiction, Action"
Sputnik,2020-09-08,"Science Fiction, Drama, Horror"
The Final Cut,2004-10-15,"Drama, Mystery, Science Fiction, Thriller"
Teen Titans: The Judas Contract,2017-03-31,"Science Fiction, Animation, Action"
After the Dark,2013-07-06,"Drama, Fantasy, Science Fiction, Thriller"
Spring,2014-10-08,"Horror, Romance, Science Fiction"
Underdog,2007-08-03,"Family, Action, Adventure, Comedy, Fantasy, Science Fiction"
Superman/Batman: Apocalypse,2010-09-28,"Science Fiction, Action, Adventure, Animation, Family"
Tekken,2010-03-20,"Crime, Drama, Action, Thriller, Science Fiction"
Into the Forest,2016-06-03,"Drama, Science Fiction"
Belle,2021-07-16,"Animation, Science Fiction, Family"
Sword Art Online: The Movie – Ordinal Scale,2017-02-18,"Animation, Action, Adventure, Fantasy, Romance, Science Fiction"
Futurama: Bender's Big Score,2007-11-27,"Animation, Comedy, Science Fiction, TV Movie"
Just Visiting,2001-04-06,"Comedy, Fantasy, Science Fiction"
Suicide Squad: Hell to Pay,2018-03-23,"Science Fiction, Action, Animation"
Sharknado 2: The Second One,2014-07-30,"Thriller, Science Fiction"
Batman: Gotham Knight,2008-07-08,"Science Fiction, Animation, Action, Crime, Thriller"
Archive,2020-08-13,"Science Fiction, Drama, Fantasy, Thriller"
Extinction,2015-08-07,"Horror, Science Fiction"
24 Hours to Live,2017-10-26,"Action, Science Fiction, Thriller, Mystery"
CJ7,2008-01-30,"Comedy, Drama, Family, Fantasy, Science Fiction"
Breach,2020-12-17,"Science Fiction, Action, Horror, Adventure"
Superman/Batman: Public Enemies,2009-09-29,"Science Fiction, Animation, Action, Adventure, Family"
The Divide,2012-01-13,"Horror, Science Fiction, Thriller"
Level 16,2018-02-20,"Science Fiction, Thriller"
Reign of the Supermen,2019-01-13,"Science Fiction, Animation, Action"
Southbound,2015-09-17,"Fantasy, Thriller, Horror, Science Fiction"
Superman: Doomsday,2007-09-18,"Action, Animation, Science Fiction, Family"
Tremors 3: Back to Perfection,2001-10-02,"Action, Comedy, Horror, Science Fiction, Thriller"
Zoom,2006-08-11,"Family, Comedy, Adventure, Action, Science Fiction"
Jiu Jitsu,2020-11-20,"Action, Science Fiction, Fantasy"
Pontypool,2009-03-06,"Horror, Mystery, Science Fiction"
Bliss,2021-02-05,"Science Fiction, Romance, Drama"
Batman and Harley Quinn,2017-08-14,"Adventure, Action, Animation, Science Fiction, Comedy"
Jeruzalem,2016-01-22,"Horror, Action, Science Fiction, Thriller"
Earth to Echo,2014-06-14,"Family, Adventure, Science Fiction"
Honeymoon,2014-09-12,"Horror, Science Fiction"
Frequently Asked Questions About Time Travel,2009-04-24,"Comedy, Drama, Romance, Science Fiction"
Apex,2021-11-12,"Action, Thriller, Science Fiction"
Kill Command,2016-05-13,"Action, Horror, Science Fiction, Thriller"
The Scorpion King 2: Rise of a Warrior,2008-07-19,"Action, Adventure, Fantasy, Science Fiction"
Area 51,2015-05-15,"Horror, Science Fiction, Mystery"
Starship Troopers 2: Hero of the Federation,2004-04-24,"Adventure, Horror, Action, Science Fiction"
Wonder Woman,2009-03-03,"Action, Adventure, Animation, Fantasy, Science Fiction"
Justice Society: World War II,2021-04-27,"Animation, War, Science Fiction"
Vice,2015-01-16,"Thriller, Science Fiction, Action, Adventure"
These Final Hours,2014-07-31,"Science Fiction, Drama, Thriller"
Fullmetal Alchemist,2017-12-01,"Fantasy, Action, Science Fiction, Adventure"
The Butterfly Effect 3: Revelations,2009-01-09,"Science Fiction, Thriller, Drama, Crime"
Cypher,2002-10-01,"Thriller, Science Fiction"
See You Yesterday,2019-05-03,"Science Fiction, Drama, Adventure, Crime, Action"
Freaks of Nature,2015-10-30,"Science Fiction, Comedy, Horror"
Tideland,2005-09-09,"Fantasy, Drama, Thriller, Science Fiction"
Futurama: The Beast with a Billion Backs,2008-06-30,"Animation, Comedy, Science Fiction, TV Movie"
Quarantine 2: Terminal,2011-06-16,"Horror, Mystery, Science Fiction"
Cosmic Sin,2021-03-12,"Action, Adventure, Science Fiction"
Southland Tales,2007-11-14,"Science Fiction, Thriller, Comedy"
Sleight,2016-04-28,"Drama, Thriller, Action, Science Fiction"
Alone,2017-02-08,"Fantasy, Science Fiction, Horror"
Team Thor,2016-08-28,"Comedy, Science Fiction"
Phineas and Ferb: The Movie: Across the 2nd Dimension,2011-08-05,"Animation, Comedy, Family, TV Movie, Adventure, Science Fiction"
Skylines,2020-10-25,"Science Fiction, Action"
Status Update,2018-02-09,"Comedy, Fantasy, Science Fiction"
Futurama: Bender's Game,2008-11-03,"Animation, Comedy, Science Fiction, TV Movie"
Futurama: Into the Wild Green Yonder,2009-02-23,"Animation, Comedy, Science Fiction, TV Movie"
Vidocq,2001-09-18,"Fantasy, Action, Thriller, Crime, Science Fiction, Mystery"
Marvel One-Shot: The Consultant,2011-09-13,"Adventure, Fantasy, Science Fiction, Action"
The Congress,2013-07-03,"Drama, Science Fiction, Animation"
Deep Blue Sea 2,2018-04-17,"Action, Horror, Science Fiction"
Paradise Hills,2019-08-29,"Fantasy, Science Fiction, Thriller"
Light of My Life,2019-08-09,"Science Fiction, Drama"
Marvel One-Shot: Item 47,2012-09-13,"Science Fiction, Action, Fantasy"
Coma,2019-11-19,"Science Fiction, Adventure, Action"
Black Box,2020-10-06,"Horror, Science Fiction, Thriller"
Stand by Me Doraemon,2014-08-08,"Animation, Family, Science Fiction, Fantasy"
Extraterrestrial,2014-10-17,"Horror, Science Fiction"
Justice League: The New Frontier,2008-02-26,"Action, Adventure, Animation, Science Fiction, Family"
Sharknado 3: Oh Hell No!,2015-07-22,"Action, TV Movie, Science Fiction, Comedy, Adventure"
Dylan Dog: Dead of Night,2011-03-16,"Action, Comedy, Horror, Mystery, Science Fiction, Thriller"
Viral,2016-02-18,"Drama, Horror, Science Fiction"
The Place Promised in Our Early Days,2004-11-20,"Animation, Adventure, Drama, Romance, Science Fiction"
Green Lantern: Emerald Knights,2011-04-09,"Action, Adventure, Animation, Science Fiction, Drama"
Bleeding Steel,2017-12-18,"Action, Science Fiction, Thriller"
(T)Raumschiff Surprise - Periode 1,2004-07-14,"Comedy, Science Fiction"
How I Became a Superhero,2020-11-19,"Science Fiction, Adventure, Action, Comedy, Thriller"
Starship Troopers 3: Marauder,2008-07-19,"Adventure, Science Fiction, Action"
The Innocents,2021-09-03,"Thriller, Horror, Science Fiction"
All Star Superman,2011-02-22,"Science Fiction, Animation, Action, Adventure"
Stargate: Continuum,2008-07-29,"Action, Adventure, Science Fiction, TV Movie"
400 Days,2015-10-29,"Mystery, Science Fiction, Thriller"
The Witch: Part 1. The Subversion,2018-06-27,"Mystery, Science Fiction, Action, Adventure"
Godsend,2004-04-30,"Drama, Horror, Science Fiction, Thriller"
Wonder Woman: Bloodlines,2019-10-04,"Science Fiction, Animation"
My Hero Academia: World Heroes' Mission,2021-08-06,"Animation, Action, Adventure, Science Fiction"
The Adventures of Pluto Nash,2002-08-16,"Action, Comedy, Science Fiction"
Planet Hulk,2010-02-02,"Science Fiction, Animation, Action"
Megaboa,2021-11-26,"Action, Horror, Science Fiction"
Stargate: The Ark of Truth,2008-03-11,"Action, Adventure, Science Fiction, TV Movie"
Rollerball,2002-02-08,"Action, Science Fiction, Thriller"
S. Darko,2009-04-28,"Thriller, Crime, Science Fiction, Mystery"
St. Trinian's,2007-12-21,"Comedy, Family, Science Fiction"
Godzilla: Planet of the Monsters,2017-11-17,"Animation, Action, Science Fiction"
Swan Song,2021-12-17,"Drama, Science Fiction"
Sea Fever,2020-06-12,"Science Fiction, Horror, Drama, Mystery"
The Last Mimzy,2007-02-09,"Drama, Science Fiction, Adventure"
Science Fiction Volume One: The Osiris Child,2016-02-17,Science Fiction
Time Freak,2018-11-09,"Science Fiction, Comedy, Romance"
Replicant,2001-05-11,"Action, Science Fiction, Thriller"
Mutant Chronicles,2008-08-07,"Action, Adventure, Horror, Science Fiction"
Space Chimps,2008-06-25,"Animation, Family, Adventure, Comedy, Science Fiction"
Deathstroke: Knights & Dragons - The Movie,2020-08-04,"Animation, Action, Adventure, Science Fiction"
Street Fighter: The Legend of Chun-Li,2009-02-27,"Action, Adventure, Science Fiction, Thriller"
Metropolis,2001-05-26,"Animation, Science Fiction"
Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer,2011-10-25,"Science Fiction, Fantasy"
Comet,2014-12-05,"Science Fiction, Comedy, Romance"
Grabbers,2012-08-10,"Science Fiction, Comedy, Thriller, Horror, Mystery"
Superman: Man of Tomorrow,2020-08-23,"Animation, Action, Science Fiction"
Universal Soldier: Regeneration,2009-10-01,"Adventure, Action, Science Fiction, Thriller"
Air,2015-08-14,"Science Fiction, Thriller"
Stowaway,2021-06-24,"Science Fiction, Drama, Thriller, Adventure"
Green Lantern: First Flight,2009-07-28,"Action, Adventure, Animation, Fantasy, Science Fiction, TV Movie"
Encounter,2021-12-03,"Science Fiction, Mystery, Thriller, Drama"
Seoul Station,2016-08-17,"Animation, Horror, Science Fiction, Action, Adventure, Thriller"
Family Guy Presents: It's a Trap!,2010-12-21,"Animation, Comedy, Science Fiction, TV Movie"
The Blackout,2019-11-21,"Thriller, Science Fiction, Action"
Universal Soldier: Day of Reckoning,2012-10-04,"Action, Science Fiction, Thriller"
Rememory,2017-09-08,"Science Fiction, Drama, Mystery"
UFO,2018-09-04,"Science Fiction, Action, Thriller"
Impostor,2001-12-03,"Action, Science Fiction, Thriller"
Adios Freakin’ Monsters from Venus,2017-11-09,"Comedy, Science Fiction"
Silent Night,2021-12-03,"Comedy, Science Fiction, Horror"
Dragon Ball: Yo! Son Goku and His Friends Return!!,2008-09-21,"Animation, Action, Adventure, Science Fiction"
Redline,2010-05-27,"Animation, Action, Science Fiction"
Battlestar Galactica: The Plan,2009-10-27,"Science Fiction, Action, Drama"
Frequencies,2013-07-24,"Romance, Science Fiction, Mystery"
How to Build a Better Boy,2014-11-18,"Family, Science Fiction, TV Movie"
Immortal,2004-03-13,"Drama, Action, Science Fiction"
Tremors 5: Bloodlines,2015-10-06,"Action, Adventure, Comedy, Horror, Science Fiction"
Pokémon 4Ever,2001-07-06,"Adventure, Fantasy, Animation, Science Fiction, Family"
Ravenous,2017-09-23,"Horror, Drama, Science Fiction"
Gabriel,2007-11-15,"Fantasy, Horror, Action, Science Fiction"
Down to Earth,2001-02-16,"Fantasy, Comedy, Science Fiction, Romance"
Tremors: A Cold Day in Hell,2018-05-01,"Action, Adventure, Science Fiction"
Patema Inverted,2013-11-09,"Animation, Adventure, Drama, Fantasy, Science Fiction"
Doom: Annihilation,2019-09-30,"Action, Science Fiction, Horror"
Steamboy,2004-07-17,"Animation, Fantasy, Science Fiction"
OtherLife,2017-06-16,"Science Fiction, Crime, Mystery"
Interstella 5555,2003-05-28,"Animation, Science Fiction, Music, Adventure"
Dragon Ball: Episode of Bardock,2011-12-17,"Action, Animation, Science Fiction"
Ghost in the Shell 2.0,2008-07-12,"Action, Animation, Science Fiction"
Dragon Wars: D-War,2007-08-01,"Fantasy, Drama, Horror, Action, Thriller, Science Fiction"
Species III,2004-11-26,"Science Fiction, Action, Horror"
Zoe,2018-07-19,"Science Fiction, Romance, Thriller"
A Sound of Thunder,2005-05-15,"Thriller, Science Fiction, Adventure, Action"
EVA,2011-10-06,"Science Fiction, Drama"
Meander,2021-07-01,"Horror, Science Fiction, Drama, Thriller"
Cargo,2009-09-24,"Thriller, Mystery, Science Fiction"
Battlestar Galactica: Razor,2007-11-12,"Science Fiction, Action, Drama, Thriller, TV Movie"
Superman vs. The Elite,2012-06-12,"Science Fiction, Animation, Action"
Sharknado 4: The 4th Awakens,2016-07-31,"Comedy, Science Fiction"
I Think We're Alone Now,2018-09-14,"Science Fiction, Drama, Mystery"
